year,age,networth,networth_infadj,wgt
2016,22,-2021.4949267192785,-2149.062534321331,6329.400748580853
2016,22,-2021.4949267192785,-2149.062534321331,6327.322781222336
2016,22,-2021.4949267192785,-2149.062534321331,6329.774135905611
2016,22,-2021.4949267192785,-2149.062534321331,6325.566097946279
2016,22,-2021.4949267192785,-2149.062534321331,6327.919063378126
2016,64,11619957.384441938,12353241.522026572,2358.730455958409
2016,64,10384687.080045097,11040018.76996789,2390.6574565286382
2016,64,11125252.311161218,11827317.798709743,2499.67813562768
2016,64,10693079.143179256,11367872.092775518,2344.6560692380112
2016,64,12236642.841037204,13008843.27136194,2427.7657760236616
2016,93,504942.0518602029,536806.7123557979,2061.5348925467765
2016,93,503708.6809470124,535495.5088571272,2080.153107810577
2016,93,504942.0518602029,536806.7123557979,2012.9221887139422
2016,93,503708.6809470124,535495.5088571272,2042.9824757648232
2016,93,503708.6809470124,535495.5088571272,2093.5123068461958
2016,61,45568121.75873732,48443724.46188889,29.51069456710719
2016,61,45568121.75873732,48443724.46188889,27.50361816982915
2016,61,45568121.75873732,48443724.46188889,28.89174598087589
2016,61,45568121.75873732,48443724.46188889,27.395280709540337
2016,61,45568121.75873732,48443724.46188889,27.83303897168371
2016,55,35151.071025930105,37369.299712115884,4604.593663507823
2016,55,36384.44193912063,38680.50321078661,4606.592929651376
2016,55,37617.81285231116,39991.70670945734,4613.760396876125
2016,55,33917.70011273957,36058.09621344515,4622.788071260088
2016,55,37617.81285231116,39991.70670945734,4640.922935284807
2016,85,5867762.119503946,6238050.644926011,4676.942322436915
2016,85,5830020.969560316,6197927.817866686,5126.521874659878
2016,85,6436962.795941375,6843171.059562554,4691.673646999494
2016,85,6431412.626832018,6837270.643818535,4985.126334786261
2016,85,6189055.2423900785,6579619.156329736,5211.310459226598
2016,30,4748.47801578354,5048.133469882321,4371.003167979882
2016,30,4748.47801578354,5048.133469882321,4337.974234586919
2016,30,4625.140924464487,4917.013120015248,4342.436535878963
2016,30,4748.47801578354,5048.133469882321,4343.959607060473
2016,30,4748.47801578354,5048.133469882321,4363.383906560541
2016,48,276275.0845546787,293709.5837022441,6779.456046927471
2016,48,305999.32356257044,325309.58802020876,6918.5817341592165
2016,48,279975.1972942503,297643.19419825636,6814.649042200804
2016,48,296009.0191657272,314688.8396809759,6902.965826032158
2016,48,323143.17925591883,343535.31665173196,6891.920086909888
2016,68,-851.0259301014656,-904.7304140828055,5878.641897653631
2016,68,-641.3528748590755,-681.825819308781,6015.00158207996
2016,68,-814.0248027057497,-865.3943091226836,6033.228877342526
2016,68,-764.6899661781285,-812.9461691758543,6028.173783168821
2016,68,-1270.3720405862457,-1350.5396036308546,5918.530880350884
2016,27,8141.481397970688,8655.254294725506,4272.968250484546
2016,27,10238.211950394589,10884.300242465752,4275.095281359684
2016,27,8573.161217587372,9114.175519260261,4255.111967038341
2016,27,8856.836527621195,9415.752323954532,4284.627722919941
2016,27,12334.942502818489,13113.346190205997,4285.28952874878
2016,61,16958.850056369785,18029.048106722574,4555.397791876602
2016,61,14701.781285231116,15629.545704155133,4620.207736993398
2016,61,20239.616685456596,21516.849413186723,4566.449124528962
2016,61,18673.235625704623,19851.620969874893,4533.350795644588
2016,61,19326.922209695604,20546.55882417038,4610.138862515807
2016,74,176748218.7147689,187902017.37700933,26.705260317423445
2016,74,176518811.72491544,187658133.5262566,26.473415642840127
2016,74,127407215.33258174,135447321.41268668,26.9901847032194
2016,74,176538545.6595265,187679112.78223532,26.62247704934382
2016,74,127338146.56144306,135373894.01676112,27.019627826742397
2016,42,218923.33709131906,232738.62101405504,5575.889907081674
2016,42,218923.33709131906,232738.62101405504,5648.038130237252
2016,42,220033.37091319053,233918.70416285872,5615.565580721094
2016,42,218800.0,232607.50066418797,5605.951313011938
2016,42,218800.0,232607.50066418797,5629.460735598906
2016,50,121771.9436302142,129456.4326272601,7044.294646045203
2016,50,126458.75310033822,134439.0059222089,7155.390255906951
2016,50,135092.34949267193,143617.430412904,7108.055778590337
2016,50,120883.91657271702,128512.36610821717,7107.117957654247
2016,50,124127.68207440812,131960.8313097212,7119.9757605386285
2016,51,926508.2299887261,984976.0682014544,3532.90532744928
2016,51,926508.2299887261,984976.0682014544,3408.748005897305
2016,51,926508.2299887261,984976.0682014544,3488.704261754575
2016,51,926508.2299887261,984976.0682014544,3465.5353577829455
2016,51,926508.2299887261,984976.0682014544,3392.1293622357616
2016,42,341643.7429537768,363203.369131793,3504.583977193958
2016,42,342877.1138669673,364514.5726304637,3280.548977777375
2016,42,344110.48478015786,365825.7761291344,3402.4956801551803
2016,42,342877.1138669673,364514.5726304637,3339.2641258871663
2016,42,344110.48478015786,365825.7761291344,3326.537861185204
2016,57,83129.19954904172,88375.11581040738,5536.725306017155
2016,57,86520.96956031567,91980.9254317519,5570.360509224186
2016,57,92256.14430665164,98078.0217005708,5524.708920365219
2016,57,80045.77226606538,85097.10706373054,5502.94182099144
2016,57,84855.91882750846,90210.8007085464,5597.266015480103
2016,55,1607772.9875986471,1709232.4327272202,3481.8210904743146
