year,age,hours_per_week,weeks_worked,weight
2023,68,0,0,89925
2023,64,40,52,98995
2023,43,40,52,110680
2023,75,0,0,90699
2023,33,40,52,180055
2023,35,37,52,121888
2023,61,0,0,95219
2023,65,40,52,93897
2023,59,0,0,96960
2023,62,50,4,121290
2023,36,40,12,119543
2023,43,8,10,117964
2023,79,0,0,90316
2023,85,0,0,103730
2023,58,40,52,88221
2023,62,38,52,123427
2023,20,34,17,159765
2023,41,40,52,115935
2023,41,40,52,156791
2023,35,40,52,120844
2023,35,45,52,118884
2023,62,40,52,135411
2023,56,40,52,132709
2023,85,0,0,87831
2023,30,37,52,214828
2023,29,40,52,115872
2023,52,40,52,105821
2023,59,40,52,88221
2023,85,12,12,90316
2023,80,0,0,83606
2023,69,40,52,122516
2023,66,15,13,104101
2023,67,0,0,95722
2023,63,0,0,94418
2023,36,45,52,145430
2023,52,35,52,105821
2023,30,0,0,130576
2023,34,60,52,130968
2023,43,37,52,99175
2023,69,40,52,89925
2023,68,0,0,95722
2023,51,0,0,112809
2023,49,40,36,111683
2023,42,40,52,120496
2023,78,0,0,90699
2023,76,0,0,88319
2023,54,40,52,94103
2023,57,40,52,97498
2023,27,35,52,137303
2023,57,20,52,88710
2023,56,40,25,97498
2023,59,40,52,88710
2023,58,52,52,97498
2023,31,55,52,180055
2023,26,40,52,137303
2023,43,49,52,153947
2023,35,32,52,119543
2023,57,40,52,99337
2023,62,40,52,121290
2023,45,50,50,104338
2023,43,40,52,115935
2023,54,50,35,120248
2023,65,50,35,122516
2023,40,52,52,117964
2023,40,40,52,120496
2023,77,0,0,124795
2023,74,0,0,93687
2023,31,55,52,120102
2023,53,40,52,146316
2023,58,55,52,131977
2023,32,45,52,137699
2023,73,0,0,119600
2023,74,0,0,93687
2023,48,40,52,131079
2023,46,24,39,117201
2023,44,70,52,122308
2023,49,40,52,0
2023,48,40,52,0
2023,56,20,52,0
2023,28,35,52,0
2023,38,40,52,0
2023,46,60,52,0
2023,45,40,52,0
2023,51,50,52,0
2023,45,40,52,0
2023,34,55,52,0
2023,39,50,52,0
2023,36,0,0,0
2023,63,38,52,0
2023,47,40,52,0
2023,29,40,52,0
2023,29,25,13,0
2023,47,37,52,0
2023,47,20,52,0
2023,36,40,39,0
2023,37,0,0,0
2023,55,30,52,0
2023,49,85,52,0
2023,72,0,0,0
2023,65,0,0,0
2023,58,0,0,0
2023,30,40,52,0
2023,49,40,52,0
2023,31,40,52,0
2023,32,0,0,0
2023,34,24,52,0
2023,42,45,52,0
2023,73,0,0,119600
